,bookname,Author and publication,Rating,Reviewers,Link,Photo,Genre
0,1938 : Hitler's Gamble,Giles MacDonogh / Basic Books / 2011-5-10 / USD 16.99,9.4,114,https://book.douban.com/subject/10447495/,https://img9.doubanio.com/view/subject/s/public/s9057800.jpg,穿越
1,晚明,柯山梦 / 2012-8,9.2,267,https://book.douban.com/subject/35383720/,https://img9.doubanio.com/view/subject/s/public/s33853855.jpg,穿越
2,临高启明 第一卷,肖峰 / 中国广播影视出版社 / 2017-10 / 98.00元,9.2,273,https://book.douban.com/subject/27194610/,https://img9.doubanio.com/view/subject/s/public/s29612365.jpg,穿越
3,临高启明,吹牛者 / 布衣书局.帝国出版社,9.2,512,https://book.douban.com/subject/31086991/,https://img9.doubanio.com/view/subject/s/public/s30146894.jpg,穿越
4,FLESH & BLOOD〈5〉 : Flesh&Blood 海盗风云,松岡 なつき / 徳間書店 / 2003-6-23 / JPY 540,9.1,127,https://book.douban.com/subject/3045033/,https://img9.doubanio.com/view/subject/s/public/s3332422.jpg,穿越
5,凤逆苍穹3 : 魂兮归来,路非 / 江苏文艺出版社 / 2014-4 / 55.00,9.0,112,https://book.douban.com/subject/25846281/,https://img9.doubanio.com/view/subject/s/public/s27238040.jpg,穿越
6,六朝雲龍吟 1,弄玉、龍璇 / 河圖文化 / 2012-3-15 / 180 元,9.0,109,https://book.douban.com/subject/10876473/,https://img9.doubanio.com/view/subject/s/public/s10479027.jpg,穿越
7,到开封府混个差事Ⅱ,欧阳墨心 / 珠海出版社 / 2008-05 / 24.80元,8.9,233,https://book.douban.com/subject/3064299/,https://img9.doubanio.com/view/subject/s/public/s3225065.jpg,穿越
8,花非花 01-02,夏小卷 / 新世纪出版社 / 2011-9 / 24.00元,8.9,181,https://book.douban.com/subject/6760181/,https://img9.doubanio.com/view/subject/s/public/s6944798.jpg,穿越
9,史上第一混乱·第三季·武林大会,张小花 / 黄山书社 / 2009-4 / 26.80元,8.8,1880,https://book.douban.com/subject/3664145/,https://img9.doubanio.com/view/subject/s/public/s3756423.jpg,穿越
10,史上第一混乱·第二季·山寨武校,张小花 / 黄山书社 / 2009-3 / 26.80元,8.7,2189,https://book.douban.com/subject/3611391/,https://img9.doubanio.com/view/subject/s/public/s3671058.jpg,穿越
11,史上第一混乱·第五季·寻秦记,张小花 / 黄山书社 / 2009-6 / 26.80元,8.7,1837,https://book.douban.com/subject/3802381/,https://img9.doubanio.com/view/subject/s/public/s6046733.jpg,穿越
12,海棠依舊：知否？知否？應是綠肥紅瘦 卷七 那人卻道，海棠依舊 完,關心則亂、繪者：呀呀 / 三采 / 2013-4-19,8.7,1261,https://book.douban.com/subject/23720194/,https://img9.doubanio.com/view/subject/s/public/s26251986.jpg,穿越
13,大唐明月 卷四 : 因禍得福,藍雲舒 / 希代 / 2012-10-17 / NT$250,8.6,106,https://book.douban.com/subject/3126471/,https://img9.doubanio.com/view/subject/s/public/s24440666.jpg,穿越
14,史上第一混乱·第四季·诱惑仙草,张小花 / 黄山书社 / 2009-4 / 26.80元,8.6,1763,https://book.douban.com/subject/3739306/,https://img9.doubanio.com/view/subject/s/public/s3794787.jpg,穿越
15,新宋·十字3,阿越 / 花山文艺出版社 / 2008-03 / 22.0,8.6,1193,https://book.douban.com/subject/3004594/,https://img9.doubanio.com/view/subject/s/public/s2973171.jpg,穿越
16,大唐明月 卷三：將計就計 : 將計就計,藍云舒 / 希代 / 2012-10-17,8.6,131,https://book.douban.com/subject/20254852/,https://img9.doubanio.com/view/subject/s/public/s22997092.jpg,穿越
17,临高启明 : 第一卷,吹牛者 / 新知三联书店 / 2017-1-3 / 98.00元,8.6,1284,https://book.douban.com/subject/26957420/,https://img9.doubanio.com/view/subject/s/public/s29290088.jpg,穿越
18,新宋Ⅲ·燕云3,阿越 / 花山文艺出版社 / 2009-6-1 / 25.00元,8.6,873,https://book.douban.com/subject/3766379/,https://img9.doubanio.com/view/subject/s/public/s3814969.jpg,穿越
19,凤逆苍穹2 : 万寿无疆,路非 / 江苏文艺出版社 / 2014-2 / 55.00元,8.6,120,https://book.douban.com/subject/25832465/,https://img9.doubanio.com/view/subject/s/public/s27224179.jpg,穿越
20,新宋Ⅱ·权柄2,阿越 / 花山文艺出版社 / 2008 / 26.8,8.6,1330,https://book.douban.com/subject/3053120/,https://img9.doubanio.com/view/subject/s/public/s3164275.jpg,穿越
21,新宋Ⅱ·权柄4,阿越 / 花山文艺出版社 / 2008-06 / 25.0,8.6,1085,https://book.douban.com/subject/3101286/,https://img9.doubanio.com/view/subject/s/public/s3164295.jpg,穿越
22,新宋Ⅱ·权柄3,阿越 / 花山文艺出版社 / 2008-05 / 29.8,8.6,1086,https://book.douban.com/subject/3069940/,https://img9.doubanio.com/view/subject/s/public/s3164284.jpg,穿越
23,新宋Ⅱ·权柄1,阿越 / 花山文艺出版社 / 2008-04 / 25.0,8.6,1472,https://book.douban.com/subject/3024940/,https://img9.doubanio.com/view/subject/s/public/s3164276.jpg,穿越
24,尋郎（上）,汀風 / 麥田 / 2014-2-11 / NT$250,8.6,121,https://book.douban.com/subject/25764871/,https://img9.doubanio.com/view/subject/s/public/s27212000.jpg,穿越
25,大唐明月3·西域烽烟,蓝云舒 / 上海文艺出版社 / 2013-1 / 29.00元,8.6,1401,https://book.douban.com/subject/21336788/,https://img9.doubanio.com/view/subject/s/public/s24978206.jpg,穿越
26,宰执天下,Cuslaa / 2019-3,8.6,342,https://book.douban.com/subject/34908302/,https://img9.doubanio.com/view/subject/s/public/s33532056.jpg,穿越
27,新宋Ⅱ·权柄5,阿越 / 花山文艺出版社 / 2008-08 / 28.0,8.6,1001,https://book.douban.com/subject/3183693/,https://img9.doubanio.com/view/subject/s/public/s3236460.jpg,穿越
28,大唐明月 卷二 喜結良緣 : 喜結良緣,藍云舒 / 希代多媒體 / 2012-9-12 / USD 17.00,8.6,143,https://book.douban.com/subject/19998056/,https://img9.doubanio.com/view/subject/s/public/s22789107.jpg,穿越
29,新宋·十字2,阿越 / 花山文艺出版社 / 2008-02 / 22.00元,8.6,1246,https://book.douban.com/subject/2970172/,https://img9.doubanio.com/view/subject/s/public/s2973170.jpg,穿越
30,大唐明月4·碧血黄沙,蓝云舒 / 上海文艺出版社 / 2013-1 / 29.00元,8.6,1210,https://book.douban.com/subject/21346268/,https://img9.doubanio.com/view/subject/s/public/s24979075.jpg,穿越
31,史上第一混乱·第一季神仙预备役,张小花 / 黄山书社 / 2009-1 / 26.80,8.6,5322,https://book.douban.com/subject/3522694/,https://img9.doubanio.com/view/subject/s/public/s3614792.jpg,穿越
32,新宋Ⅲ·燕云2,阿越 / 花山文艺出版社 / 2008-11 / 25.00元,8.5,889,https://book.douban.com/subject/3306270/,https://img9.doubanio.com/view/subject/s/public/s3374797.jpg,穿越
33,太虚幻境,纳兰容若,8.5,117,https://book.douban.com/subject/4054970/,https://img9.doubanio.com/view/subject/s/public/s3992802.jpg,穿越
34,四十年后的爱人 : 穿越到四十年后爱人变成了老头怎么办》,扶华 / 青岛出版社 / 2020-12-3 / 49.8,8.5,373,https://book.douban.com/subject/35276292/,https://img9.doubanio.com/view/subject/s/public/s33780000.jpg,穿越
35,慶餘年 卷7 : 北海霧渡,貓膩 / 紫宸社 / 2009-4 / NT$199,8.5,2224,https://book.douban.com/subject/3779046/,https://img9.doubanio.com/view/subject/s/public/s3822725.jpg,穿越
36,史上第一混乱·第六季·时光总动员,张小花 / 黄山书社 / 2010-3 / 26.80元,8.5,1412,https://book.douban.com/subject/4729353/,https://img9.doubanio.com/view/subject/s/public/s6147606.jpg,穿越
37,海棠依舊：知否？知否？應是綠肥紅瘦卷六 嫣然一笑新妝就，春園海棠花獨妍,關心則亂 / 三采文化 / 2012-11-9 / NTD240,8.5,1111,https://book.douban.com/subject/20274086/,https://img9.doubanio.com/view/subject/s/public/s23122272.jpg,穿越
38,海棠依舊：知否？知否？應是綠肥紅瘦 卷二 : 一從梅粉褪殘妝，塗抹新紅上海棠,關心則亂 / 三采 / 2012-3-30,8.5,1339,https://book.douban.com/subject/10566532/,https://img9.doubanio.com/view/subject/s/public/s8993645.jpg,穿越
39,大唐明月2·谋断恩仇,蓝云舒 / 上海文艺出版社 / 2013-1 / 29.80元,8.5,1673,https://book.douban.com/subject/20501271/,https://img9.doubanio.com/view/subject/s/public/s24683262.jpg,穿越
40,木兰无长兄3,祈祷君 / 百花洲文艺出版社 / 2016-5 / 29.80元,8.5,232,https://book.douban.com/subject/26774124/,https://img9.doubanio.com/view/subject/s/public/s28637082.jpg,穿越
41,海棠依舊：知否？知否？應是綠肥紅瘦 卷五 : 直令桃李能言語，何似多情睡海棠,關心則亂、呀呀/封面繪圖 / 三采 / 2012-9,8.5,1282,https://book.douban.com/subject/19281910/,https://img9.doubanio.com/view/subject/s/public/s11363812.jpg,穿越
42,掌事(卷四),清楓聆心 / 說頻文化 / 2013-6-11 / NTD 250,8.5,120,https://book.douban.com/subject/25700791/,https://img9.doubanio.com/view/subject/s/public/s27011459.jpg,穿越
43,大唐明月1·风起长安,蓝云舒 / 上海文艺出版社 / 2013-1 / 27.00元,8.5,3245,https://book.douban.com/subject/20501270/,https://img9.doubanio.com/view/subject/s/public/s25115503.jpg,穿越
44,大唐明月 卷一 : 嫡女當道,藍雲舒 / 希代多媒體 / 2012-9-12 / 110元,8.5,353,https://book.douban.com/subject/3340229/,https://img9.doubanio.com/view/subject/s/public/s22789088.jpg,穿越
45,大唐明月 卷五 : 生死一線,藍雲舒 / 希代 / 2012-11-14 / NT$250,8.5,108,https://book.douban.com/subject/3369771/,https://img9.doubanio.com/view/subject/s/public/s24226864.jpg,穿越
46,江山6·四海归一,墨武 / 云南人民 / 2010-12 / 29.80元,8.5,151,https://book.douban.com/subject/5396149/,https://img9.doubanio.com/view/subject/s/public/s4608245.jpg,穿越
47,寻秦记 : 架空历史的鼻祖,黄易 / 华艺出版社 / 2004 / 68.80,8.5,146,https://book.douban.com/subject/2051059/,https://img9.doubanio.com/view/subject/s/public/s3722058.jpg,穿越
48,夜旅人,赵熙之 / 百花洲文艺出版社 / 2016-9 / 32.80元,8.4,7665,https://book.douban.com/subject/26853361/,https://img9.doubanio.com/view/subject/s/public/s33565366.jpg,穿越
49,海棠依舊：知否？知否？應是綠肥紅瘦 卷三 : 海棠不惜胭脂色，不待金屋薦華堂,關心則亂、呀呀/封面繪圖 / 三采 / 2012-5-4,8.4,1247,https://book.douban.com/subject/10739632/,https://img9.doubanio.com/view/subject/s/public/s9100189.jpg,穿越
50,傲风2 : 北境放逐之地Ⅰ,风行烈 / 江苏文艺出版社 / 2012-6 / 49.80元,8.4,179,https://book.douban.com/subject/10751093/,https://img9.doubanio.com/view/subject/s/public/s10406950.jpg,穿越
51,新宋Ⅲ·燕云1,阿越 / 花山文艺出版社 / 2008-10 / 29.80元,8.4,992,https://book.douban.com/subject/3239554/,https://img9.doubanio.com/view/subject/s/public/s3288651.jpg,穿越
52,海棠依舊：知否？知否？應是綠肥紅瘦 卷四 : 淡極始知花更豔，一片春心向海棠,關心則亂、呀呀/封面繪圖 / 三采 / 2012-6-1 / CNY 56.00,8.4,1409,https://book.douban.com/subject/10775030/,https://img9.doubanio.com/view/subject/s/public/s10250450.jpg,穿越
53,掌事(卷二),清楓聆心 / 說頻文化 / 2013-6-11 / NTD 250,8.4,148,https://book.douban.com/subject/25700789/,https://img9.doubanio.com/view/subject/s/public/s27011455.jpg,穿越
54,江山5·三分天下,墨武 / 云南人民出版社 / 2010-10 / 29.80元,8.4,174,https://book.douban.com/subject/5346214/,https://img9.doubanio.com/view/subject/s/public/s8906175.jpg,穿越
55,江山4·金戈铁马,墨武 / 云南人民出版社 / 2010-8 / 29.80元,8.4,184,https://book.douban.com/subject/5030313/,https://img9.doubanio.com/view/subject/s/public/s4534917.jpg,穿越
56,天下·贰·龙啸,宁致远 / 朝华出版社 / 2006-04 / 22.0,8.4,155,https://book.douban.com/subject/1792075/,https://img9.doubanio.com/view/subject/s/public/s1778061.jpg,穿越
57,木兰无长兄2,祈祷君 / 百花洲文艺出版社 / 2016-3 / 29.80元,8.4,283,https://book.douban.com/subject/26756791/,https://img9.doubanio.com/view/subject/s/public/s28637066.jpg,穿越
58,掌事(卷三),清楓聆心 / 說頻文化 / 2013-6-26 / NTD 250,8.4,115,https://book.douban.com/subject/25700790/,https://img9.doubanio.com/view/subject/s/public/s27011457.jpg,穿越
59,史上第一混乱·第七季·终极拯救大结局,张小花 / 黄山书社 / 2010-4 / 26.80元,8.4,1501,https://book.douban.com/subject/4844954/,https://img9.doubanio.com/view/subject/s/public/s4369468.jpg,穿越
60,木兰无长兄4,祈祷君 / 百花洲文艺出版社 / 2016-7 / 29.80元,8.4,219,https://book.douban.com/subject/26820930/,https://img9.doubanio.com/view/subject/s/public/s28825651.jpg,穿越
61,大唐明月5·云诡波谲,蓝云舒 / 上海文艺出版社 / 2014-1 / 27.00元,8.4,815,https://book.douban.com/subject/25839869/,https://img9.doubanio.com/view/subject/s/public/s27233670.jpg,穿越
62,江山（一） : 初入帝都,墨武 / 云南人民出版社 / 2009-11 / 29.80元,8.4,1661,https://book.douban.com/subject/4144066/,https://img9.doubanio.com/view/subject/s/public/s4534938.jpg,穿越
